round,train_logloss,valid_logloss
280,0.27204791001052087,0.27347274978701025
281,0.27201992495239957,0.27344507370527826
282,0.2719903111771504,0.27343826989322917
283,0.27196037234356985,0.2734127289738856
284,0.27192660058905677,0.2734148083755802
285,0.2718931424916907,0.27338803005174556
286,0.27186146454642907,0.2733849695803788
287,0.2718316782097932,0.2733831791728453
288,0.2718045787430363,0.27339238024670864
289,0.27177995216397993,0.2733854932344316
290,0.2717544141050178,0.27338146864849744
291,0.27172318821667096,0.27335754082384645
292,0.2716931236667747,0.2733325937515536
293,0.2716723796061395,0.27332487345353074
294,0.2716431286189055,0.273314036283234
295,0.2716088691489277,0.27329282543212685
296,0.2715807724234668,0.2732821903172464
297,0.2715483761319078,0.2732743243372223
298,0.2715205153402177,0.2732728308404168
299,0.27148883146227454,0.27324031580824715
300,0.27146288454019585,0.2732372386264874
301,0.2714314058204263,0.2732212867672788
302,0.27140591499482725,0.2732089985330811
303,0.2713820698877473,0.273198248247471
304,0.2713530313726162,0.2731944013096738
305,0.2713213281841114,0.2731809424288269
306,0.271293871721555,0.27317746104318175
307,0.2712701056230796,0.2731712548859864
308,0.27124314104963837,0.27316867291216107
309,0.2712194947714011,0.27316077812305817
310,0.27119689153435667,0.2731578054775122
311,0.27117607849560893,0.2731448258949876
312,0.27114706738491756,0.2731313308949314
313,0.27111999054264746,0.273129386984725
314,0.27109416329765884,0.27312191635589816
315,0.27106769200771946,0.27311611714666356
316,0.27104095536547435,0.27308916288415114
317,0.27100783308505555,0.27306351238853427
318,0.2709767970230903,0.273047619413767
319,0.2709524973647544,0.2730406598406216
320,0.2709282216814777,0.2730459286607123
321,0.27089998640108603,0.27303157018248847
322,0.27087597041160566,0.27301976097984043
323,0.27085235319067713,0.2730113686386879
324,0.27082780965871245,0.2730068992658141
325,0.2708029969521462,0.27300180541609714
326,0.27077310859335935,0.27297908113116076
327,0.2707504026996804,0.2729785033491074
328,0.27072409273926695,0.272963421709566
329,0.27070066608890453,0.2729545532824625
330,0.27067580919477785,0.2729460224852212
331,0.2706461649298633,0.27293219519707296
332,0.27062177674613624,0.27290861864901156
333,0.27059499011316585,0.27290067682674807
334,0.2705708784254799,0.27288702562320494
335,0.2705415143591697,0.2728838613832946
336,0.2705127811706771,0.27288579531528423
337,0.2704835080653319,0.2728851033173042
338,0.27045495635428846,0.27286773511182527
339,0.2704323409974222,0.2728618873424778
340,0.27041375645834326,0.27285744565168096
341,0.27038834714052995,0.2728528222706909
342,0.2703705214478353,0.27284707204227493
343,0.27034858085607555,0.27283972902563164
344,0.27032281092289184,0.27282458572522833
345,0.2702966122191482,0.2728234399245933
346,0.27027253625368386,0.2728028405513643
347,0.2702527807082535,0.27279540529557417
348,0.27023031579693246,0.27279042477096144
349,0.2702097800508973,0.2727855948325497
350,0.27018639845001335,0.2727870077020172
351,0.2701668198333491,0.2727893565090451
352,0.27014324650734384,0.272790282648455
353,0.27012339942185526,0.2727916540113112
354,0.27010438379240503,0.27277780117391326
355,0.27008305685573303,0.27276306751002954
356,0.27006278877620293,0.2727460639632532
357,0.2700417781918753,0.27272861515995256
358,0.27001836885809727,0.2727089509672809
359,0.26999141087004935,0.2726989953697752
360,0.2699684281671443,0.272682957329778
361,0.2699425810747307,0.272684113444772
362,0.26991898204381454,0.2726700096165722
363,0.2698968105341612,0.2726682515132072
364,0.2698781951867249,0.2726684633704237
365,0.2698534749297988,0.27267419320325964
366,0.2698311161775058,0.2726766930311093
367,0.26980830290261304,0.27266824241116083
368,0.2697868318380978,0.2726780827948957
369,0.2697622810195084,0.27267422629066457
